key,white,black,asian,hispanic,other,single,married,widowed,divorced,renters,owners,minors,seniors,other-age,low-income,med-income,high-income,other-income,drive,carpool,transit,bike,walk,home,nonenglish,english
1,68.70677807,6.647178167,8.917079343,9.794061825,5.934902594,35.54783482,46.37506935,4.779518613,13.29757721,40.29372497,59.70627503,20.20113877,12.70642902,67.09243221,17.67933002,31.30477,4.871950479,46.14394951,64.7316517,11.29403293,14.57062271,1.54427797,1.954351783,5.905062911,21.20806463,78.79193537
2,30.94461482,19.9260953,33.36439787,9.391965843,6.372926171,34.95149491,46.77825488,6.21024173,12.06000848,45.50449115,54.49550885,21.53856157,14.12099999,64.34043844,27.35385599,22.55167001,2.392372315,47.70210168,59.59017697,11.94938549,19.63697494,1.608396374,3.457597855,3.757468366,50.01387765,49.98612235
3,68.24456945,10.52227595,9.101176574,6.498020768,5.633957257,52.2276892,33.07313825,3.514483371,11.18468918,61.43171289,38.56828711,13.1111769,11.58042479,75.3083983,24.49668012,27.54328658,6.415593843,41.54443946,43.27712447,6.353080393,20.79912728,4.431994675,19.19236743,5.946305747,18.68433334,81.31566666
4,73.04471952,2.337175363,13.75460724,4.951317724,5.912180156,56.44310475,32.28358898,3.045919732,8.227386538,56.17560829,43.82439171,14.66753308,9.011014764,76.32145216,23.15884431,31.7588393,8.442127947,36.64018844,48.49535432,7.300354617,19.77336213,5.899716703,11.51415496,7.017057274,17.46892655,82.53107345
5,68.68300153,5.650620325,12.03808509,7.309630024,6.318663027,36.5143983,45.40911523,6.169021803,11.90746467,45.90360291,54.09639709,17.33692878,14.40841601,68.25465521,23.28957455,25.9031238,3.332215408,47.47508624,61.13646309,11.78137567,17.12404409,2.583817799,2.6359109,4.738388448,23.87243736,76.12756264
6,83.41764023,1.626803961,5.166567151,4.807183173,4.981805482,38.77462054,46.81964095,3.505990832,10.89974768,43.8186553,56.1813447,16.6995257,10.71505019,72.58542411,13.86600379,36.13399621,5.177556818,44.82244318,58.15096025,8.439407474,17.33846955,4.911046598,3.854027095,7.306089028,12.50163307,87.49836693
7,75.30456617,4.256951548,9.247419325,5.753045662,5.438017297,49.86758141,34.53603047,3.207052236,12.38933589,67.28927203,32.71072797,9.054449921,12.15358505,78.79196503,23.28384419,32.00630587,7.491219668,37.21863027,46.08046017,7.561993616,18.03865175,2.11146575,18.54021255,7.667216162,15.91488984,84.08511016
avg,66.90655568,7.281014373,13.08419037,6.92931786,5.798921712,43.47524628,40.7535483,4.347461188,11.42374424,51.48815251,48.51184749,16.08704496,12.09941712,71.81353792,21.87544757,29.60028454,5.446148068,43.07811983,54.49459871,9.23994717,18.18303606,3.298673696,8.73551751,6.048226848,22.80916606,77.19083394
